;ano;mes;seguradora;vendedor;tot_apolices;venda;date;total_venda
709;2019;11;66;19;2;81,655;2019-11-01;163,31
710;2019;11;72;16;16;440,355;2019-11-01;7045,68
711;2019;11;31;9;1;1278,43;2019-11-01;1278,43
712;2019;11;72;57;3;163,825;2019-11-01;491,47499999999997
713;2019;11;72;59;1;80,0;2019-11-01;80,0
714;2019;11;31;16;4;2104,645;2019-11-01;8418,58
715;2019;11;31;12;1;665,87;2019-11-01;665,87
716;2019;11;66;20;2;75,51;2019-11-01;151,02
717;2019;11;66;2;1;72,995;2019-11-01;72,995
718;2019;11;23;20;1;1896,43;2019-11-01;1896,43
719;2019;11;72;19;2;218,155;2019-11-01;436,31
720;2019;11;64;22;3;685,265;2019-11-01;2055,795
721;2019;11;72;12;8;247,51;2019-11-01;1980,08
722;2019;11;72;42;2;399,49;2019-11-01;798,98
723;2019;11;72;38;5;937,85;2019-11-01;4689,25
724;2019;11;66;39;3;68,925;2019-11-01;206,77499999999998
725;2019;12;72;47;4;1384,155;2019-12-01;5536,62
726;2019;12;66;38;8;1280,02;2019-12-01;10240,16
727;2019;12;66;42;1;56,62;2019-12-01;56,62
728;2019;12;72;41;2;673,37;2019-12-01;1346,74
729;2019;12;66;19;4;182,07;2019-12-01;728,28
730;2019;12;66;16;12;386,89;2019-12-01;4642,68
731;2019;12;55;38;3;507,22;2019-12-01;1521,66
732;2019;12;42;1;1;207,48;2019-12-01;207,48
733;2019;12;72;58;1;125,585;2019-12-01;125,585
734;2019;12;66;52;1;113,77;2019-12-01;113,77
735;2019;12;72;44;1;100,865;2019-12-01;100,865
736;2019;12;72;20;1;50,0;2019-12-01;50,0
737;2019;12;66;39;1;57,73;2019-12-01;57,73
738;2019;12;31;16;5;6788,89;2019-12-01;33944,450000000004
739;2019;12;44;42;1;59,5;2019-12-01;59,5
740;2019;12;55;35;5;2081,74;2019-12-01;10408,699999999999
741;2019;12;44;12;2;99,4;2019-12-01;198,8
742;2019;12;64;16;2;128,39;2019-12-01;256,78
743;2019;12;55;42;1;1715,345;2019-12-01;1715,345
744;2019;12;72;16;12;2299,98;2019-12-01;27599,760000000002
745;2019;12;77;20;1;8960,0;2019-12-01;8960,0
746;2019;12;66;56;3;177,465;2019-12-01;532,395
747;2019;12;66;35;4;589,64;2019-12-01;2358,56
748;2019;12;55;12;1;196,805;2019-12-01;196,805
749;2019;12;83;20;1;147,715;2019-12-01;147,715
750;2019;12;44;9;1;69,0;2019-12-01;69,0
751;2019;12;31;17;1;51,5;2019-12-01;51,5
752;2019;12;44;19;1;73,75;2019-12-01;73,75
753;2019;12;66;9;7;390,18;2019-12-01;2731,26
